Object,Apple,Яблоко,,Color,Red,BB0C804471106361688823954B51C85C
Object,Strawberry,Клубника,,Color,Red,EC1CAF3B6EED82A048A23FFC2AD495F8
Object,Fire truck,Пожарная машина,,Color,Red,A9424CAB20021A41E5BDB65C7630A9F8
Object,Ladybug,Божья коровка,,Color,Red,E4F6F24429351F4BBCBD47B22594FA7D
Object,Tomato,Помидор,,Color,Red,6473E49F13C3692C629DBF2E12F64D79
Object,Stop sign,Знак СТОП,,Color,Red,C0DE6AA2B324B1A08E1AEB98D0A26D1A
Object,Cherry,вишня,,Color,Red,8F71B74D95C4AC3CD0AA7FC176660DB7
Object,Red crayon,Красный карандаш,,Color,Red,145CAF1C1152DC3F9E36A362E3BE5E5E
Object,Rose,Роза,,Color,Red,A367AAC6C877F398142B3E4F0B983226
Object,Ruby,Рубин,,Color,Red,8F4C29F00D8A12D8F432144EC2A9CD91
Object,Cardinal bird,Кардинальная птица,в,Color,Red,25A76BC062AD9053BEFCA6362277A057
Object,Santa Claus suit,Санта -Клаус костюм,,Color,Red,72484F94AC7C925E29868EE1BC769D01
Object,Red bell pepper,красный перец,,Color,Red,6A009D056C582192725BE1BA26D6DC9C
Object,Raspberry,Малина,,Color,Red,69F485D955C52D9FB743EE41BD8D4920
Object,Red balloon,Красный воздушный шар,,Color,Red,B29D02EA5FDBB609F4D33FEFBF70C6D9
Object,Brick,Кирпич,,Color,Red,DE1072A7A159FB23D7BABCA6A3889AD8
Object,Lobster,Омар,,Color,Red,8C664AAC122D9FEF70699FFC1020EC50
Object,Lifebuoy,Спасательный круг,,Color,Red,57A420037923BC4A1047F3E69E624A55
Object,Rudolphs nose,Рудольфс нос,в,Color,Red,41841AE551E2E74497CAC9E9F3E18474
Object,Red panda,Красная панда,в,Color,Red,31F795FB2A31474EA9026DD201CA402D
Object,Pepperoni Pizza,Пицца пепперони,,Color,Red,D866087FBC12F2D6C91C398F1DAAD309
Object,Candy apple,Карамельное яблоко,,Color,Red,301455F1D5238CD7A5A47ECB49732381
Object,Wagon,Повозка,,Color,Red,E6F8C54C1F64C8CCC9BC47E83A4074B8
Object,Pomegranate,Гранат,,Color,Red,A9FFE5FA89DDF37DB931C16E3A60896B
Object,Fire hydrant,Пожарный гидрант,,Color,Red,83142BE5B24DCDA6C187D9F91B907CD3
Object,Barn,Сарай,,Color,Red,8BE4E8DCEE4A00E36CF2E96C527FC074
Object,Ketchup bottle,Кетчуп бутылка,,Color,Red,96C020C273FCD87CFE2DED649C32F6B8
Object,Marshmello helmet,Маршмелло шлем,в,Color,Red,6BCDE996B8B49EA380F597DB82138A92
Object,Ferrari car,Автомобиль Ferrari,,Color,Red,606FF36C9DC71B98FD48B1A0A797B958
Object,Radish,Редька,,Color,Red,C295B8BF92AC316CFC871CF11181A693
Object,Blueberry,Черника,,Color,Blue,1329F4832BD9A754DE841E5F6B916766
Object,Sky,Небо,,Color,Blue,BB7FA265ED78A7983D9762F616ECD065
Object,Ocean,Океан,,Color,Blue,C49BCEE4008EFDFF01B6FCF94D45EADC
Object,Jeans,Джинсы,,Color,Blue,AB862A8D6F39F780B13601903CA67E19
