Mug,Кружка,,CVC,,,Object,626A84AE461DD2CB321C29D1D8ADE808,BadImage
Bug,Ошибка,,CVC,,,Object,577D1D79D22ABBB7D371CF3609844B07,BadImage
Jug,Кувшин,,CVC,,,Object,CB484F42AFDF992438CC61011D907FA2,BadImage
Map,карта,,CVC,,,Object,BE7A6B1FDBFB0D7CBF42606E8C44512E,BadImage
Nut,Орех,,CVC,,,Object,14FC78074033AEBA98A28D2D498BCDD1,BadImage
Crab,Краб,,CCVC,,,Object,080C4ACB0E26EBFA00BFC96B9311A654,BadImage
Spot,Место,,CCVC,,,Object,5793D970D208B2445A12228AFF7B77B2,BadImage
Clap,Хлопать в ладоши,,CCVC,,,Object,21571E35FE3F2BC2F7D0B319CB993ADA,BadImage
Mask,Маска,,CCVC,,,Object,37D82F9C854708A2936C04B3CD2BB299,BadImage
Plan,План,,CCVC,,,Object,69CDE8F08C795097EA68E95C5938C035,BadImage
Club,Клуб,,CCVC,,,Object,803EFC8A65BF6E2CA78F651B5AD14811,BadImage
Frisk,Фриск,,CCVC,,,Object,1FFC025699723CF3BBC51AB93CD9D9FF,BadImage
Fish,Рыба,,CVCC,,,Object,9E5A1AC384A36E5C700311769F04141D,BadImage
Bush,Куст,,CVCC,,,Object,67E21AB4B752A994A67458764B80C0D2,BadImage
Club,Клуб,,CVCC,,,Object,ACE0928AA4F8B443FD93C8ABEA5F27D6,BadImage
Frog,Лягушка,,CVCC,,,Object,657D3E954309E6DD4ABE74D9C572321C,BadImage
List,Список,,CVCC,,,Object,D4CC5FF5AA346A04D93D8BDA629E3F0D,BadImage
Neck,Шея,,CVCC,,,Object,6BAFD43628660354E3E83965A714646A,BadImage
Bark,Лаять,,CVCC,,,Object,2798921E90785854F72E6DF2C008658A,BadImage
Card,Карта,,CVCC,,,Object,E606369A997112154C8F1AB3096BE2D9,BadImage
Luck,Удача,,CVCC,,,Object,707209C68DDDECAC64B2B1F7FD5B2C67,BadImage
Game,Игра,,CVCe,,,Object,D80FE2DD2E4E8E611D4740669ED0D503,BadImage
Tune,Мелодия,,CVCe,,,Object,D682E4E6E71D6F7F55643F2B97B53866,BadImage
Date,Дата,,CVCe,,,Object,0ED314F20C7FD86CA14B8D6EC6693781,BadImage
Jade,Джейд,,CVCe,,,Object,E0ECBCA7D939D39D03653FDC2424C439,BadImage
Ride,Поездка,,CVCe,,,Object,F44C5928EF39834142F887119CB27FFF,BadImage
Pole,Столб,,CVCe,,,Object,CFF1BA40D5A99C986C50CE85BAAB4D46,BadImage
Fume,По -прежнему,,CVCe,,,Object,48697FF45BABE70AC54FDBD7B94303B7,BadImage
Life,Жизнь,,CVCe,,,Object,9F1C71D2DD2968033F01E1A071DFD6A0,BadImage
Side,Сторона,,CVCe,,,Object,150FC5A2CFF2F7D697360D6A6AF8B3D7,BadImage
Lobe,Доли,,CVCe,,,Object,930F9B688390846C5A61691BD4E9853B,BadImage
Fame,Слава,,CVCe,,,Object,323122CAF9D36FA24B5628C86F79F446,BadImage
Sale,Распродажа,,CVCe,,,Object,96DC0F9B60AEAB1A001A984DDA84F93E,BadImage
Bin,,,CVC,,,Object,FB331564907FEFAD1AB3D83A3F3B40B2,BadImage
Dip,,,CVC,,,Object,14F3D25470E6D66FA024E01031FF5F6F,BadImage
Hog,,,CVC,,,Object,08C7898DB39D550C76092F08EE2609CF,BadImage
Jib,,,CVC,,,Object,E371089B129E1F864D3C1C4FB6E8A5F3,BadImage
Keg,,,CVC,,,Object,8BD2E892A42BF5685047D6BCE5877C04,BadImage
Quip,,,CVC,,,Object,BBBD0B9DEEE92F2AF69485A1780B3473,BadImage
Spin,,,CCVC,,,Object,18911BAC7F59942B001A1F2E33B4C341,BadImage
Plant,,,CCVC,,,Object,6971685EDBE9261AC540D0C551CA4BEC,BadImage
Truck,,,CCVC,,,Object,1B558477D6A126A82B663E6BF347FFBF,BadImage
Skin,,,CCVC,,,Object,FA20DC1C764D8313908E580349461D6B,BadImage
Blow,,,CCVC,,,Object,E60AD4F550B7683C81C50BB724AD235B,BadImage
Crab,,,CCVC,,,Object,E40CE454CA42125009A56C4A1A2B2333,BadImage
Duck,,,CCVC,,,Object,035F2EBBDD8553C001D9E030CD55AC84,BadImage
Spot,,,CCVC,,,Object,6455D8FDA6D885772CD8CE93F68938F4,BadImage
Lute,,,CVCe,,,Object,9590E571307351A4AC2214CD45BADE46,BadImage
Dose,,,CVCe,,,Object,AA03ABA696B8BBA885624707298C209C,BadImage
,#VALUE!,,,Singing,,Object,16952DF2BBD70A48720429FADF86FF42,BadImage
,#VALUE!,,,Dinosaurces,,Object,53D17C147659BF09FEF753D341D6B749,BadImage
,#VALUE!,,,Adventures,,Object,2E86736C0846F9322227D9DAE4FBD98F,BadImage
,#VALUE!,,,Adventures,,Object,FEDB4B49A624DD8186F3CD03FB5D7CE8,BadImage
,#VALUE!,,,Experiments,,Object,9F43F8E6D294FC6CC0F41D24A746E1F7,BadImage
,#VALUE!,,,Science,,Object,7FA4DB7C0027799370DB23AF0BBC6CE8,BadImage
,#VALUE!,,,Cartoon monsters,,Object,AC2AE97BBD8C44BD412FC4F58F016D4C,BadImage
,#VALUE!,,,Cartoon monsters,,Object,FD7983894720CBB1248DF12507B49435,BadImage
,#VALUE!,,,Dinosaurces,,Object,5DFE6ADC8C8AB30196B0976012ADA435,BadImage
,#VALUE!,,,Dinosaurces,,Object,83EC335B92A214975A941A02F10A9E0E,BadImage
,#VALUE!,,,Dancing,,Object,4F54DCC1EDC1D9EAD2C78BBCE8D77067,BadImage
,#VALUE!,,,Magic,,Object,10AE4908DFAA14A89378ED9D227E4087,BadImage
,#VALUE!,,,Magic,,Object,051B2B378A05D075CB6FF7417DB77803,BadImage
,#VALUE!,,,Magic,,Object,91583931F76BF0E4174D9D3590F04142,BadImage
,#VALUE!,,,Magic,,Object,17CBF4902EC410055DAAB3872F17526D,BadImage
,#VALUE!,,,Magic,,Object,13B7F732B5AB04AA55A8712C35D84BE8,BadImage
,#VALUE!,,,Magic,,Object,086F019A4929F2386876324056B7BB66,BadImage
,#VALUE!,,,Magic,,Object,A61F9AD9597EA7839EE3B0CBD0AE4BA7,BadImage
,#VALUE!,,,Space,,Object,C05B14BC023FD73A0BBB0CA7FAAB0B25,BadImage
,#VALUE!,,,Space,,Object,9123442864287BBF678F84604BD55165,BadImage
,#VALUE!,,,Space,,Object,85CE47C4BFBB2EE9CE0C11C5CC8CBA3A,BadImage
,#VALUE!,,,Space,,Object,F48A1EEDA47431BA667E4539D347F0DC,BadImage
,#VALUE!,,,Space,,Object,8641FF5E7269E7FECB057E1AA501421D,BadImage
,#VALUE!,,,Space,,Object,2C2C3515401F06D10311232BC249F637,BadImage
